Id,PostId,VoteTypeId,CreationDate,UserId
649,185,2,2011-03-25T00:00:00.000,
650,218,2,2011-03-25T00:00:00.000,
651,219,2,2011-03-25T00:00:00.000,
652,152,1,2011-03-25T00:00:00.000,
653,221,2,2011-03-25T00:00:00.000,
654,225,2,2011-03-25T00:00:00.000,
655,228,2,2011-03-28T00:00:00.000,
656,228,1,2011-03-28T00:00:00.000,
657,149,2,2011-03-28T00:00:00.000,
658,152,2,2011-03-28T00:00:00.000,
659,129,2,2011-03-28T00:00:00.000,
660,229,2,2011-03-28T00:00:00.000,
661,229,5,2011-03-28T00:00:00.000,1778
662,229,2,2011-03-29T00:00:00.000,
663,224,2,2011-03-29T00:00:00.000,
664,215,2,2011-04-02T00:00:00.000,
665,207,2,2011-04-05T00:00:00.000,
666,215,2,2011-04-06T00:00:00.000,
667,232,2,2011-04-07T00:00:00.000,
668,232,2,2011-04-07T00:00:00.000,
669,232,2,2011-04-07T00:00:00.000,
670,234,2,2011-04-08T00:00:00.000,
